,0
oos,how much has the dow changed today
translate,how would you say fly in italian
transfer,can you please provide me with assistance in moving money from one account to another
timer,set a 4 minute timer
definition,define antebellum
meaning_of_life,would you let me know what the meaning is life is
insurance_change,i would like to change my insurance policy
find_phone,"can you help me find my phone, please"
travel_alert,is there a travel alert in spain
pto_request,please help me set up a vacation request
improve_credit_score,how can i increase my credit score
fun_fact,name unusual facts about the circus
change_language,please speak in tagalog
payday,how long until my paycheck shows up
replacement_card_duration,how long does it take for a credit card to be reissued and mailed to me
time,i need you to tell me what time it is in new york now
application_status,how is the status of my credit card application coming along
flight_status,what's the status of by delta flight
flip_coin,flip a coin for me and i call heads
change_user_name,bob is my name now
where_are_you_from,where are you coming from
shopping_list_update,tack on a gallon of milk to the grocery list
what_can_i_ask_you,can you tell me what you can help with
maybe,undecided
oil_change_how,help me change my oil
restaurant_reservation,"i'd like to make a reservation at rooth chris, can you do that"
balance,what are my coffers at
confirm_reservation,confirm my reservation for march 12 at 9:00 am
freeze_account,can you freeze my bank account
rollover_401k,"i heard i can transfer my 401k, but don't know how, do you"
who_made_you,what company made this ai
distance,which way do we go and how long will it take to get to the sears tower in chicago
user_name,how do you refer to me
timezone,what's the timezone for britain
next_song,"i don't like this song, can skip it"
transactions,i need to know all my spending transactions
restaurant_suggestion,please give me the name of a few good options for places to eat dinner tonight
rewards_balance,x card has earned how many points
pay_bill,i have a car payment that needs to be paid
spending_history,what's the total i've spent on shoes this month
pto_request_status,did my vacation get approval
credit_score,i would like to know my credit score
new_card,i would like to get a new credt card
lost_luggage,is my luggage lost
repeat,may you say that again
mpg,tell me: car gas mileage
oil_change_when,am i due for an oil change yet
yes,i will say yes as my response
travel_suggestion,what are some interesting things i can do while in raleigh
insurance,which insurance plan to i have
todo_list_update,cross grocery shopping off the todo list
reminder,give me my reminders
change_speed,can i speed up your voice
tire_pressure,give me the pressure for the tires on my car
no,that isn't right
apr,you need to tell me my credit card's apr
nutrition_info,tell me nutritional info for brocoli
calendar,do i have my nephew's birthday marked for november 10th
uber,"i'd like an uber for 6 people, going to walmart"
calculator,what is 300 divided by 42
date,date please
carry_on,what restrictions do they have for carry-on
pto_used,how many days did i take off
schedule_maintenance,can you see if i can make an appointment to have my oil changed
travel_notification,i will be traveling to lima alert my bank
sync_device,i want my phone to be disconnected from you
thank_you,thank you ever so much for that!
roll_dice,how much do you get when you roll an eight sided die
food_last,how soon milk expires
cook_time,how long to grill thick steaks
reminder_update,i want to be reminded to pay the electric bill
report_lost_card,i need to tell you about my lost card
ingredient_substitution,can i swap chili for sloppy joe mix in the recipe
make_call,i need to call my dad
alarm,i want to set an alarm
todo_list,what's on my todo list
change_accent,change the accent you're using
w2,what site can i get my w2
bill_due,when is my electric bill due by
calories,number of calories in coke
damaged_card,tell me how to go about reporting a damaged card
restaurant_reviews,does applebees have good reviews
routing,i need my routing number for my checking account at bb&t bank
do_you_have_pets,cats or dogs are your preference
schedule_meeting,please book a meeting room for thusday at 4:00
gas_type,which gas would be best
plug_type,would a socket converter be needed in france
tire_change,when would you change my tires
exchange_rate,convert 200 us dollars to british pounds
next_holiday,on what day is our next free day
change_volume,turn volume up to 4
who_do_you_work_for,who is in charge of you when you work
credit_limit,what's the most i can charge on my card
how_busy,is the resataurant busy at 5:00 pm
accept_reservations,can i do a reservation at sammy's crab shack
order_status,where is my order now
pin_change,i'm struggling to remind myself the pin number to my card
goodbye,good speaking to you
account_blocked,why is my bank account locked
what_song,i'd like to know what song this is
international_fees,will i be charged transaction fees if i use my american card internationally
last_maintenance,what was the date of my last car appointment
meeting_schedule,are there meetings scheduled for today
ingredients_list,what food do you need to make lasagna
report_fraud,i want to report fraudulent activity on my navy federal card
measurement_conversion,how many teaspoons will make one tablespoon
smart_home,i would like it if you would turn the bedroom lights on low until i'm finished reading
book_hotel,i really need you to find me a hotel with good reviews in phoenix
current_location,pull up the map and show my location
weather,what is the weather
taxes,tell me what my federal taxes amount to
min_payment,i must pay verizon what minimum amount on my bill
whisper_mode,set whisper mode to off
cancel,stop what you're doing
international_visa,are visas needed to travel to jamaica
vaccines,do i need to get any shots before i travel to morocco
pto_balance,i would like to know my vacation days balance
directions,how do i get downtown by foot
spelling,spell aaron
greeting,how are you doing
reset_settings,so please reset your factory settings
what_is_your_name,tell me what your name is
direct_deposit,how do i set up a direct deposit
interest_rate,what's my bank of america account getting in interest
credit_limit_change,when can i change my credit limit
what_are_your_hobbies,what are your hobbies exactly
book_flight,"book me a flight to jackson, mississippi from austin texas on american airlines"
shopping_list,does my shopping list have pop tarts
text,"text chrissy, i'm on my way"
bill_balance,what do i owe to jcp
share_location,can i share my location with david
redeem_rewards,how do i get stuff with visa points
play_music,play the song called baby shark
calendar_update,i need to add something to my calendar for next tuesday
are_you_a_bot,tell me if you are a human or are a computer
gas,can i get to work on my fuel tank
expiration_date,"i want to bring my card on the texas trip in june, will it be expired by then"
update_playlist,add to my motivational playlist rap god
cancel_reservation,i do not actually need my reservation anymore
tell_joke,i would like to hear something funny
change_ai_name,would it be possible to change your name to coraline
how_old_are_you,what your numerical digit to display as your age
car_rental,i need to rent an suv in charlestown for the first week in june who do you suggest
jump_start,what should i do to get my car jump started
meal_suggestion,what's a good italian meal
recipe,what do i need to do to cook a chicken
income,how much money do i make
order,"alexa, buy a new television"
traffic,i need to know traffic patterns heading to the george washington bridge from manhattan
order_checks,"can i get some more checkbooks sent to me, please"
card_declined,my card got declined; why
